S.no,Airline code,Flight Designator,SOBT,checkinopen,checkinclose,Routing,Traffic Type,Public Terminal,GHA,Seats,dest_iata,dest_city,dest_country,airline_name,airline_country
28,AI,AI 2025,21-06-2026 3:05,20-06-2026 23:05,21-06-2026 2:05,DEL-FRA,INTERNATIONAL,Terminal 3,AISATS,299,FRA,Frankfurt,Germany,Air India,India
29,TG,TG 332,21-06-2026 3:20,20-06-2026 23:20,21-06-2026 2:20,DEL-BKK,INTERNATIONAL,Terminal 3,BFS,321,BKK,Bangkok,Thailand,Thai Airways,Thailand
30,QR,QR 579,21-06-2026 3:25,20-06-2026 23:25,21-06-2026 2:25,DEL-DOH,INTERNATIONAL,Terminal 3,Ramp 360,283,DOH,Doha,Qatar,Qatar Airways,Qatar
31,AI,AI 2115,21-06-2026 3:35,20-06-2026 23:35,21-06-2026 2:35,DEL-SIN,INTERNATIONAL,Terminal 3,AISATS,188,SIN,Singapore,Singapore,Air India,India
32,AI,AI 185,21-06-2026 3:55,20-06-2026 23:55,21-06-2026 2:55,DEL-YVR,INTERNATIONAL,Terminal 3,AISATS,342,YVR,Vancouver,Canada,Air India,India
33,KL,KL 872,21-06-2026 3:55,20-06-2026 23:55,21-06-2026 2:55,DEL-AMS,INTERNATIONAL,Terminal 3,BFS,318,AMS,Amsterdam,Netherlands,KLM,Netherlands
34,FZ,FZ 442,21-06-2026 4:10,21-06-2026 0:10,21-06-2026 3:10,DEL-DXB,INTERNATIONAL,Terminal 3,AISATS,174,DXB,Dubai,United Arab Emirates,flydubai,United Arab Emirates
35,XY,XY 330,21-06-2026 4:15,21-06-2026 0:15,21-06-2026 3:15,DEL-RUH,INTERNATIONAL,Terminal 3,AISATS,174,RUH,Riyadh,Saudi Arabia,flynas,Saudi Arabia
36,6E,6E 1635,21-06-2026 4:20,21-06-2026 0:20,21-06-2026 3:20,DEL-SGN,INTERNATIONAL,Terminal 3,BFS,186,SGN,Ho Chi Minh City,Vietnam,IndiGo,India
37,EK,EK 513,21-06-2026 4:25,21-06-2026 0:25,21-06-2026 3:25,DEL-DXB,INTERNATIONAL,Terminal 3,AISATS,360,DXB,Dubai,United Arab Emirates,Emirates,United Arab Emirates
38,AI,AI 215,21-06-2026 4:30,21-06-2026 0:30,21-06-2026 3:30,DEL-KTM,INTERNATIONAL,Terminal 3,AISATS,150,KTM,Kathmandu,Nepal,Air India,India
39,AI,AI 111,21-06-2026 4:35,21-06-2026 0:35,21-06-2026 3:35,DEL-LHR,INTERNATIONAL,Terminal 3,AISATS,299,LHR,London,United Kingdom,Air India,India
40,JL,JL 740,21-06-2026 4:35,21-06-2026 0:35,21-06-2026 3:35,DEL-NRT,INTERNATIONAL,Terminal 3,BFS,206,NRT,Tokyo,Japan,Japan Airlines,Japan
41,G9,G9 464,21-06-2026 4:40,21-06-2026 0:40,21-06-2026 3:40,DEL-SHJ,INTERNATIONAL,Terminal 3,BFS,168,SHJ,Sharjah,United Arab Emirates,Air Arabia,United Arab Emirates
42,EY,EY 219,21-06-2026 4:50,21-06-2026 0:50,21-06-2026 3:50,DEL-AUH,INTERNATIONAL,Terminal 3,AISATS,370,AUH,Abu Dhabi,United Arab Emirates,Etihad Airways,United Arab Emirates
43,GF,GF 131,21-06-2026 4:55,21-06-2026 0:55,21-06-2026 3:55,DEL-BAH,INTERNATIONAL,Terminal 3,BFS,166,BAH,Manama,Bahrain,Gulf Air,Bahrain
44,6E,6E 1633,21-06-2026 5:00,21-06-2026 1:00,21-06-2026 4:00,DEL-HAN,INTERNATIONAL,Terminal 3,BFS,232,HAN,Hanoi,Vietnam,IndiGo,India
45,AI,AI 4305,21-06-2026 5:05,21-06-2026 1:05,21-06-2026 4:05,DEL-DXB,INTERNATIONAL,Terminal 3,AISATS,164,DXB,Dubai,United Arab Emirates,Air India,India
46,J2,J2 058,21-06-2026 5:10,21-06-2026 1:10,21-06-2026 4:10,DEL-GYD,INTERNATIONAL,Terminal 3,Ramp 360,186,GYD,Baku,Azerbaijan,Azerbaijan Airlines,Azerbaijan
47,6E,6E 1073,21-06-2026 5:10,21-06-2026 1:10,21-06-2026 4:10,DEL-HKT,INTERNATIONAL,Terminal 3,BFS,232,HKT,Phuket,Thailand,IndiGo,India
48,UL,UL 192,21-06-2026 5:15,21-06-2026 1:15,21-06-2026 4:15,DEL-CMB,INTERNATIONAL,Terminal 3,BFS,200,CMB,Colombo,Sri Lanka,SriLankan Airlines,Sri Lanka
49,KU,KU 384,21-06-2026 6:05,21-06-2026 2:05,21-06-2026 5:05,DEL-KWI,INTERNATIONAL,Terminal 3,BFS,235,KWI,Kuwait City,Kuwait,Kuwait Airways,Kuwait
50,6E,6E 1721,21-06-2026 6:15,21-06-2026 2:15,21-06-2026 5:15,DEL-HKG,INTERNATIONAL,Terminal 3,BFS,186,HKG,Hong Kong,Hong Kong,IndiGo,India
51,TK,TK 717,21-06-2026 6:30,21-06-2026 2:30,21-06-2026 5:30,DEL-IST,INTERNATIONAL,Terminal 3,Ramp 360,400,IST,Istanbul,Turkey,Turkish Airlines,Turkey
52,6E,6E 1611,21-06-2026 6:40,21-06-2026 2:40,21-06-2026 5:40,DEL-BBI-DPS,INTERNATIONAL,Terminal 3,BFS,186,DPS,Denpasar (Bali),Indonesia,IndiGo,India
53,6E,6E 1063,21-06-2026 6:50,21-06-2026 2:50,21-06-2026 5:50,DEL-BKK,INTERNATIONAL,Terminal 3,BFS,220,BKK,Bangkok,Thailand,IndiGo,India
54,6E,6E 1069,21-06-2026 6:50,21-06-2026 2:50,21-06-2026 5:50,DEL-KBV,INTERNATIONAL,Terminal 3,BFS,186,KBV,Krabi,Thailand,IndiGo,India
55,AI,AI 213,21-06-2026 7:00,21-06-2026 3:00,21-06-2026 6:00,DEL-KTM,INTERNATIONAL,Terminal 3,AISATS,150,KTM,Kathmandu,Nepal,Air India,India
56,6E,6E 1901,21-06-2026 7:30,21-06-2026 3:30,21-06-2026 6:30,DEL-ATH,INTERNATIONAL,Terminal 3,BFS,195,ATH,Athens,Greece,IndiGo,India
57,AY,AY 122,21-06-2026 7:40,21-06-2026 3:40,21-06-2026 6:40,DEL-HEL,INTERNATIONAL,Terminal 3,BFS,279,HEL,Helsinki,Finland,Finnair,Finland
58,6E,6E 011,21-06-2026 7:45,21-06-2026 3:45,21-06-2026 6:45,DEL-IST,INTERNATIONAL,Terminal 3,BFS,195,IST,Istanbul,Turkey,IndiGo,India
59,J9,J9 410,21-06-2026 7:45,21-06-2026 3:45,21-06-2026 6:45,DEL-KWI,INTERNATIONAL,Terminal 3,Ramp 360,174,KWI,Kuwait City,Kuwait,Jazeera Airways,Kuwait
60,SG,SG 5111,21-06-2026 7:45,21-06-2026 3:45,21-06-2026 6:45,DEL-DXB,INTERNATIONAL,Terminal 3,BFS,189,DXB,Dubai,United Arab Emirates,SpiceJet,India
61,SU,SU 233,21-06-2026 7:50,21-06-2026 3:50,21-06-2026 6:50,DEL-SVO,INTERNATIONAL,Terminal 3,AIESL,402,SVO,Moscow,Russia,Aeroflot,Russia
62,6E,6E 1151,21-06-2026 8:00,21-06-2026 4:00,21-06-2026 7:00,DEL-KTM,INTERNATIONAL,Terminal 3,BFS,186,KTM,Kathmandu,Nepal,IndiGo,India
63,LO,LO 072,21-06-2026 8:00,21-06-2026 4:00,21-06-2026 7:00,DEL-WAW,INTERNATIONAL,Terminal 3,AISATS,252,WAW,Warsaw,Poland,LOT Polish Airlines,Poland
64,AI,AI 2355,21-06-2026 8:25,21-06-2026 4:25,21-06-2026 7:25,DEL-BKK,INTERNATIONAL,Terminal 3,AISATS,164,BKK,Bangkok,Thailand,Air India,India
65,IX,IX 179,21-06-2026 8:25,21-06-2026 4:25,21-06-2026 7:25,DEL-AUH,INTERNATIONAL,Terminal 3,AISATS,180,AUH,Abu Dhabi,United Arab Emirates,Air India Express,India
66,6E,6E 1461,21-06-2026 8:35,21-06-2026 4:35,21-06-2026 7:35,DEL-DXB,INTERNATIONAL,Terminal 3,BFS,186,DXB,Dubai,United Arab Emirates,IndiGo,India
67,WY,WY 242,21-06-2026 8:55,21-06-2026 4:55,21-06-2026 7:55,DEL-MCT,INTERNATIONAL,Terminal 3,BFS,162,MCT,Muscat,Oman,Oman Air,Oman
68,SQ,SQ 401,21-06-2026 9:00,21-06-2026 5:00,21-06-2026 8:00,DEL-SIN,INTERNATIONAL,Terminal 3,AISATS,337,SIN,Singapore,Singapore,Singapore Airlines,Singapore
69,6E,6E 1013,21-06-2026 9:05,21-06-2026 5:05,21-06-2026 8:05,DEL-SIN,INTERNATIONAL,Terminal 3,BFS,222,SIN,Singapore,Singapore,IndiGo,India
70,EY,EY 213,21-06-2026 9:25,21-06-2026 5:25,21-06-2026 8:25,DEL-AUH,INTERNATIONAL,Terminal 3,AISATS,158,AUH,Abu Dhabi,United Arab Emirates,Etihad Airways,United Arab Emirates
71,W5,W5 070,21-06-2026 9:30,21-06-2026 5:30,21-06-2026 8:30,DEL-IKA,INTERNATIONAL,Terminal 3,AISATS,308,IKA,Tehran,Iran,Mahan Air,Iran
72,ET,ET 689,21-06-2026 9:35,21-06-2026 5:35,21-06-2026 8:35,DEL-ADD,INTERNATIONAL,Terminal 3,Ramp 360,315,ADD,Addis Ababa,Ethiopia,Ethiopian Airlines,Ethiopia
73,AI,AI 917,21-06-2026 9:50,21-06-2026 5:50,21-06-2026 8:50,DEL-DXB,INTERNATIONAL,Terminal 3,AISATS,164,DXB,Dubai,United Arab Emirates,Air India,India
74,BA,BA 256,21-06-2026 10:05,21-06-2026 6:05,21-06-2026 9:05,DEL-LHR,INTERNATIONAL,Terminal 3,Ramp 360,204,LHR,London,United Kingdom,British Airways,United Kingdom
75,QR,QR 571,21-06-2026 10:25,21-06-2026 6:25,21-06-2026 9:25,DEL-DOH,INTERNATIONAL,Terminal 3,Ramp 360,254,DOH,Doha,Qatar,Qatar Airways,Qatar
76,AI,AI 4209,21-06-2026 10:35,21-06-2026 6:35,21-06-2026 9:35,DEL-DXB,INTERNATIONAL,Terminal 3,AISATS,259,DXB,Dubai,United Arab Emirates,Air India,India
77,AI,AI 143,21-06-2026 10:45,21-06-2026 6:45,21-06-2026 9:45,DEL-CDG,INTERNATIONAL,Terminal 3,AISATS,259,CDG,Paris,France,Air India,India
78,AI,AI 113,21-06-2026 10:50,21-06-2026 6:50,21-06-2026 9:50,DEL-BHX,INTERNATIONAL,Terminal 3,AISATS,259,BHX,Birmingham,United Kingdom,Air India,India
79,6E,6E 003,21-06-2026 10:50,21-06-2026 6:50,21-06-2026 9:50,DEL-LHR,INTERNATIONAL,Terminal 3,BFS,338,LHR,London,United Kingdom,IndiGo,India
80,B3,B3 774,21-06-2026 10:55,21-06-2026 6:55,21-06-2026 9:55,DEL-KTM-PBH,INTERNATIONAL,Terminal 3,BFS,126,PBH,Paro,Bhutan,Bhutan Airlines,Bhutan
81,K9,K9 1602,21-06-2026 10:55,21-06-2026 6:55,21-06-2026 9:55,DEL-BSZ,INTERNATIONAL,Terminal 3,AISATS,164,BSZ,Bishkek,Kyrgyzstan,Tez Jet Airlines,Kyrgyzstan
82,AI,AI 2332,21-06-2026 11:00,21-06-2026 7:00,21-06-2026 10:00,DEL-BKK,INTERNATIONAL,Terminal 3,AISATS,164,BKK,Bangkok,Thailand,Air India,India
83,EK,EK 511,21-06-2026 11:00,21-06-2026 7:00,21-06-2026 10:00,DEL-DXB,INTERNATIONAL,Terminal 3,AISATS,360,DXB,Dubai,United Arab Emirates,Emirates,United Arab Emirates
84,AI,AI 237,21-06-2026 11:10,21-06-2026 7:10,21-06-2026 10:10,DEL-DAC,INTERNATIONAL,Terminal 3,AISATS,150,DAC,Dhaka,Bangladesh,Air India,India
85,6E,6E 1153,21-06-2026 11:10,21-06-2026 7:10,21-06-2026 10:10,DEL-KTM,INTERNATIONAL,Terminal 3,BFS,186,KTM,Kathmandu,Nepal,IndiGo,India
86,VS,VS 301,21-06-2026 11:10,21-06-2026 7:10,21-06-2026 10:10,DEL-LHR,INTERNATIONAL,Terminal 3,BFS,397,LHR,London,United Kingdom,Virgin Atlantic,United Kingdom
87,AI,AI 155,21-06-2026 11:15,21-06-2026 7:15,21-06-2026 10:15,DEL-AMS,INTERNATIONAL,Terminal 3,AISATS,259,AMS,Amsterdam,Netherlands,Air India,India
88,SV,SV 757,21-06-2026 11:25,21-06-2026 7:25,21-06-2026 10:25,DEL-JED,INTERNATIONAL,Terminal 3,AISATS,445,JED,Jeddah,Saudi Arabia,Saudia,Saudi Arabia
89,KC,KC 908,21-06-2026 11:35,21-06-2026 7:35,21-06-2026 10:35,DEL-ALA,INTERNATIONAL,Terminal 3,AISATS,179,ALA,Almaty,Kazakhstan,Air Astana,Kazakhstan
90,TG,TG 324,21-06-2026 11:40,21-06-2026 7:40,21-06-2026 10:40,DEL-BKK,INTERNATIONAL,Terminal 3,BFS,264,BKK,Bangkok,Thailand,Thai Airways,Thailand
91,MS,MS 974,21-06-2026 12:00,21-06-2026 8:00,21-06-2026 11:00,DEL-CAI,INTERNATIONAL,Terminal 3,BFS,142,CAI,Cairo,Egypt,EgyptAir,Egypt
92,AI,AI 2017,21-06-2026 12:05,21-06-2026 8:05,21-06-2026 11:05,DEL-LHR,INTERNATIONAL,Terminal 3,AISATS,316,LHR,London,United Kingdom,Air India,India
93,C6,C6 558,21-06-2026 12:10,21-06-2026 8:10,21-06-2026 11:10,DEL-TAS,INTERNATIONAL,Terminal 3,BFS,180,TAS,Tashkent,Uzbekistan,Centrum Air,Uzbekistan
94,AI,AI 151,21-06-2026 12:15,21-06-2026 8:15,21-06-2026 11:15,DEL-ZRH,INTERNATIONAL,Terminal 3,AISATS,259,ZRH,Zurich,Switzerland,Air India,India
95,AI,AI 157,21-06-2026 12:15,21-06-2026 8:15,21-06-2026 11:15,DEL-CPH,INTERNATIONAL,Terminal 3,AISATS,256,CPH,Copenhagen,Denmark,Air India,India
96,AI,AI 2029,21-06-2026 12:20,21-06-2026 8:20,21-06-2026 11:20,DEL-FRA,INTERNATIONAL,Terminal 3,AISATS,259,FRA,Frankfurt,Germany,Air India,India
97,AI,AI 2362,21-06-2026 12:25,21-06-2026 8:25,21-06-2026 11:25,DEL-MNL,INTERNATIONAL,Terminal 3,AISATS,188,MNL,Manila,Philippines,Air India,India
98,KB,KB 201,21-06-2026 12:30,21-06-2026 8:30,21-06-2026 11:30,DEL-PBH,INTERNATIONAL,Terminal 3,BFS,118,PBH,Paro,Bhutan,Drukair,Bhutan
99,6E,6E 1103,21-06-2026 12:35,21-06-2026 8:35,21-06-2026 11:35,DEL-DAC,INTERNATIONAL,Terminal 3,BFS,232,DAC,Dhaka,Bangladesh,IndiGo,India
100,AI,AI 281,21-06-2026 12:40,21-06-2026 8:40,21-06-2026 11:40,DEL-CMB,INTERNATIONAL,Terminal 3,AISATS,182,CMB,Colombo,Sri Lanka,Air India,India
101,AI,AI 137,21-06-2026 12:50,21-06-2026 8:50,21-06-2026 11:50,DEL-MXP,INTERNATIONAL,Terminal 3,AISATS,259,MXP,Milan,Italy,Air India,India
102,AI,AI 2388,21-06-2026 13:10,21-06-2026 9:10,21-06-2026 12:10,DEL-SGN,INTERNATIONAL,Terminal 3,AISATS,164,SGN,Ho Chi Minh City,Vietnam,Air India,India
103,AI,AI 2376,21-06-2026 13:25,21-06-2026 9:25,21-06-2026 12:25,DEL-HKT,INTERNATIONAL,Terminal 3,AISATS,164,HKT,Phuket,Thailand,Air India,India
104,6E,6E 1155,21-06-2026 13:40,21-06-2026 9:40,21-06-2026 12:40,DEL-KTM,INTERNATIONAL,Terminal 3,BFS,186,KTM,Kathmandu,Nepal,IndiGo,India
105,AI,AI 2243,21-06-2026 13:45,21-06-2026 9:45,21-06-2026 12:45,DEL-RUH,INTERNATIONAL,Terminal 3,AISATS,162,RUH,Riyadh,Saudi Arabia,Air India,India
106,SQ,SQ 405,21-06-2026 14:20,21-06-2026 10:20,21-06-2026 13:20,DEL-SIN,INTERNATIONAL,Terminal 3,AISATS,388,SIN,Singapore,Singapore,Singapore Airlines,Singapore
107,AI,AI 219,21-06-2026 14:25,21-06-2026 10:25,21-06-2026 13:25,DEL-KTM,INTERNATIONAL,Terminal 3,AISATS,150,KTM,Kathmandu,Nepal,Air India,India
108,6E,6E 1807,21-06-2026 14:25,21-06-2026 10:25,21-06-2026 13:25,DEL-TBS,INTERNATIONAL,Terminal 3,BFS,186,TBS,Tbilisi,Georgia,IndiGo,India
109,AI,AI 2304,21-06-2026 14:30,21-06-2026 10:30,21-06-2026 13:30,DEL-BKK,INTERNATIONAL,Terminal 3,AISATS,164,BKK,Bangkok,Thailand,Air India,India
110,FG,FG 312,21-06-2026 15:00,21-06-2026 11:00,21-06-2026 14:00,DEL-KBL,INTERNATIONAL,Terminal 3,BFS,230,KBL,Kabul,Afghanistan,Ariana Afghan Airlines,Afghanistan
111,RQ,RQ 4402,21-06-2026 15:10,21-06-2026 11:10,21-06-2026 14:10,DEL-KBL,INTERNATIONAL,Terminal 3,AISATS,346,KBL,Kabul,Afghanistan,Kam Air,Afghanistan
112,AI,AI 4309,21-06-2026 15:15,21-06-2026 11:15,21-06-2026 14:15,DEL-DXB,INTERNATIONAL,Terminal 3,AISATS,259,DXB,Dubai,United Arab Emirates,Air India,India
113,6E,6E 1081,21-06-2026 15:40,21-06-2026 11:40,21-06-2026 14:40,DEL-HKT,INTERNATIONAL,Terminal 3,BFS,186,HKT,Phuket,Thailand,IndiGo,India
114,6E,6E 1053,21-06-2026 15:45,21-06-2026 11:45,21-06-2026 14:45,DEL-BKK,INTERNATIONAL,Terminal 3,BFS,220,BKK,Bangkok,Thailand,IndiGo,India
115,EY,EY 215,21-06-2026 15:55,21-06-2026 11:55,21-06-2026 14:55,DEL-AUH,INTERNATIONAL,Terminal 3,AISATS,158,AUH,Abu Dhabi,United Arab Emirates,Etihad Airways,United Arab Emirates
116,6E,6E 1345,21-06-2026 15:55,21-06-2026 11:55,21-06-2026 14:55,DEL-DOH,INTERNATIONAL,Terminal 3,BFS,236,DOH,Doha,Qatar,IndiGo,India
117,WY,WY 246,21-06-2026 16:00,21-06-2026 12:00,21-06-2026 15:00,DEL-MCT,INTERNATIONAL,Terminal 3,BFS,162,MCT,Muscat,Oman,Oman Air,Oman
118,RA,RA 218,21-06-2026 16:20,21-06-2026 12:20,21-06-2026 15:20,DEL-KTM,INTERNATIONAL,Terminal 3,BFS,274,KTM,Kathmandu,Nepal,Nepal Airlines,Nepal
119,EK,EK 517,21-06-2026 16:25,21-06-2026 12:25,21-06-2026 15:25,DEL-DXB,INTERNATIONAL,Terminal 3,AISATS,360,DXB,Dubai,United Arab Emirates,Emirates,United Arab Emirates
120,IA,IA 444,21-06-2026 16:30,21-06-2026 12:30,21-06-2026 15:30,DEL-BGW,INTERNATIONAL,Terminal 3,AISATS,362,BGW,Baghdad,Iraq,Iraqi Airways,Iraq
121,AI,AI 2255,21-06-2026 17:25,21-06-2026 13:25,21-06-2026 16:25,DEL-JED,INTERNATIONAL,Terminal 3,AISATS,164,JED,Jeddah,Saudi Arabia,Air India,India
122,6E,6E 1161,21-06-2026 17:50,21-06-2026 13:50,21-06-2026 16:50,DEL-KTM,INTERNATIONAL,Terminal 3,BFS,186,KTM,Kathmandu,Nepal,IndiGo,India
123,NH,NH 838,21-06-2026 18:00,21-06-2026 14:00,21-06-2026 17:00,DEL-HND,INTERNATIONAL,Terminal 3,AISATS,246,HND,Tokyo,Japan,All Nippon Airways,Japan
124,AI,AI 358,21-06-2026 18:10,21-06-2026 14:10,21-06-2026 17:10,DEL-HND,INTERNATIONAL,Terminal 3,AISATS,250,HND,Tokyo,Japan,Air India,India
125,IX,IX 163,21-06-2026 18:25,21-06-2026 14:25,21-06-2026 17:25,DEL-MCT,INTERNATIONAL,Terminal 3,AISATS,180,MCT,Muscat,Oman,Air India Express,India
126,6E,6E 1169,21-06-2026 18:25,21-06-2026 14:25,21-06-2026 17:25,DEL-CMB,INTERNATIONAL,Terminal 3,BFS,186,CMB,Colombo,Sri Lanka,IndiGo,India
127,G9,G9 466,21-06-2026 18:35,21-06-2026 14:35,21-06-2026 17:35,DEL-SHJ,INTERNATIONAL,Terminal 3,BFS,168,SHJ,Sharjah,United Arab Emirates,Air Arabia,United Arab Emirates
128,AI,AI 2283,21-06-2026 18:40,21-06-2026 14:40,21-06-2026 17:40,DEL-DOH,INTERNATIONAL,Terminal 3,AISATS,164,DOH,Doha,Qatar,Air India,India
129,UL,UL 196,21-06-2026 18:45,21-06-2026 14:45,21-06-2026 17:45,DEL-CMB,INTERNATIONAL,Terminal 3,BFS,188,CMB,Colombo,Sri Lanka,SriLankan Airlines,Sri Lanka
130,SG,SG 5105,21-06-2026 18:45,21-06-2026 14:45,21-06-2026 17:45,DEL-DXB,INTERNATIONAL,Terminal 3,BFS,189,DXB,Dubai,United Arab Emirates,SpiceJet,India
131,KE,KE 498,21-06-2026 18:50,21-06-2026 14:50,21-06-2026 17:50,DEL-ICN,INTERNATIONAL,Terminal 3,BFS,278,ICN,Seoul,South Korea,Korean Air,South Korea
132,JL,JL 030,21-06-2026 19:05,21-06-2026 15:05,21-06-2026 18:05,DEL-HND,INTERNATIONAL,Terminal 3,BFS,239,HND,Tokyo,Japan,Japan Airlines,Japan
133,6E,6E 1463,21-06-2026 19:10,21-06-2026 15:10,21-06-2026 18:10,DEL-DXB,INTERNATIONAL,Terminal 3,BFS,220,DXB,Dubai,United Arab Emirates,IndiGo,India
134,SV,SV 9651,21-06-2026 19:50,21-06-2026 15:50,21-06-2026 18:50,DEL-MED,INTERNATIONAL,Terminal 3,AISATS,326,MED,Medina,Saudi Arabia,Saudia,Saudi Arabia
135,MU,MU 564,21-06-2026 19:55,21-06-2026 15:55,21-06-2026 18:55,DEL-PVG,INTERNATIONAL,Terminal 3,BFS,262,PVG,Shanghai,China,China Eastern Airlines,China
136,6E,6E 1231,21-06-2026 20:15,21-06-2026 16:15,21-06-2026 19:15,DEL-KWI,INTERNATIONAL,Terminal 3,BFS,186,KWI,Kuwait City,Kuwait,IndiGo,India
