S.no,Airline code,Flight Designator,SOBT,checkinopen,checkinclose,Routing,Traffic Type,GHA,Seats,dest_iata,dest_city,dest_country,airline_name,airline_country
84,Airline37,Airline37 35,DD-MM-YYYY 11:10,DD-MM-YYYY 7:10,DD-MM-YYYY 10:10,VMT-KXG,INTERNATIONAL,GHA02,150,KXG,City53,Country45,Airline37,Country05
85,Airline10,Airline10 02,DD-MM-YYYY 11:10,DD-MM-YYYY 7:10,DD-MM-YYYY 10:10,VMT-WWC,INTERNATIONAL,GHA04,186,WWC,City37,Country42,Airline10,Country05
86,Airline42,Airline42 01,DD-MM-YYYY 11:10,DD-MM-YYYY 7:10,DD-MM-YYYY 10:10,VMT-LRY,INTERNATIONAL,GHA04,397,LRY,City30,Country08,Airline42,Country08
87,Airline37,Airline37 22,DD-MM-YYYY 11:15,DD-MM-YYYY 7:15,DD-MM-YYYY 10:15,VMT-CFX,INTERNATIONAL,GHA02,259,CFX,City28,Country41,Airline37,Country05
88,Airline17,Airline17 02,DD-MM-YYYY 11:25,DD-MM-YYYY 7:25,DD-MM-YYYY 10:25,VMT-UJO,INTERNATIONAL,GHA02,445,UJO,City26,Country15,Airline17,Country15
89,Airline23,Airline23 02,DD-MM-YYYY 11:35,DD-MM-YYYY 7:35,DD-MM-YYYY 10:35,VMT-JOR,INTERNATIONAL,GHA02,179,JOR,City20,Country38,Airline23,Country38
90,Airline07,Airline07 01,DD-MM-YYYY 11:40,DD-MM-YYYY 7:40,DD-MM-YYYY 10:40,VMT-XUH,INTERNATIONAL,GHA04,264,XUH,City10,Country46,Airline07,Country46
91,Airline56,Airline56 01,DD-MM-YYYY 12:00,DD-MM-YYYY 8:00,DD-MM-YYYY 11:00,VMT-KCJ,INTERNATIONAL,GHA04,142,KCJ,City45,Country23,Airline56,Country23
92,Airline37,Airline37 41,DD-MM-YYYY 12:05,DD-MM-YYYY 8:05,DD-MM-YYYY 11:05,VMT-LRY,INTERNATIONAL,GHA02,316,LRY,City30,Country08,Airline37,Country05
93,Airline47,Airline47 01,DD-MM-YYYY 12:10,DD-MM-YYYY 8:10,DD-MM-YYYY 11:10,VMT-DII,INTERNATIONAL,GHA04,180,DII,City56,Country11,Airline47,Country11
94,Airline37,Airline37 15,DD-MM-YYYY 12:15,DD-MM-YYYY 8:15,DD-MM-YYYY 11:15,VMT-YSI,INTERNATIONAL,GHA02,259,YSI,City48,Country34,Airline37,Country05
95,Airline37,Airline37 28,DD-MM-YYYY 12:15,DD-MM-YYYY 8:15,DD-MM-YYYY 11:15,VMT-GQF,INTERNATIONAL,GHA02,256,GQF,City47,Country22,Airline37,Country05
96,Airline37,Airline37 12,DD-MM-YYYY 12:20,DD-MM-YYYY 8:20,DD-MM-YYYY 11:20,VMT-ITC,INTERNATIONAL,GHA02,259,ITC,City52,Country27,Airline37,Country05
97,Airline37,Airline37 33,DD-MM-YYYY 12:25,DD-MM-YYYY 8:25,DD-MM-YYYY 11:25,VMT-SES,INTERNATIONAL,GHA02,188,SES,City21,Country19,Airline37,Country05
98,Airline02,Airline02 01,DD-MM-YYYY 12:30,DD-MM-YYYY 8:30,DD-MM-YYYY 11:30,VMT-RUB,INTERNATIONAL,GHA04,118,RUB,City38,Country30,Airline02,Country30
99,Airline10,Airline10 18,DD-MM-YYYY 12:35,DD-MM-YYYY 8:35,DD-MM-YYYY 11:35,VMT-KXG,INTERNATIONAL,GHA04,232,KXG,City53,Country45,Airline10,Country05
100,Airline37,Airline37 07,DD-MM-YYYY 12:40,DD-MM-YYYY 8:40,DD-MM-YYYY 11:40,VMT-UNC,INTERNATIONAL,GHA02,182,UNC,City27,Country12,Airline37,Country05
101,Airline37,Airline37 01,DD-MM-YYYY 12:50,DD-MM-YYYY 8:50,DD-MM-YYYY 11:50,VMT-ICX,INTERNATIONAL,GHA02,259,ICX,City57,Country33,Airline37,Country05
102,Airline37,Airline37 27,DD-MM-YYYY 13:10,DD-MM-YYYY 9:10,DD-MM-YYYY 12:10,VMT-NXQ,INTERNATIONAL,GHA02,164,NXQ,City25,Country31,Airline37,Country05
103,Airline37,Airline37 25,DD-MM-YYYY 13:25,DD-MM-YYYY 9:25,DD-MM-YYYY 12:25,VMT-XGF,INTERNATIONAL,GHA02,164,XGF,City01,Country46,Airline37,Country05
104,Airline10,Airline10 08,DD-MM-YYYY 13:40,DD-MM-YYYY 9:40,DD-MM-YYYY 12:40,VMT-WWC,INTERNATIONAL,GHA04,186,WWC,City37,Country42,Airline10,Country05
105,Airline37,Airline37 42,DD-MM-YYYY 13:45,DD-MM-YYYY 9:45,DD-MM-YYYY 12:45,VMT-DFH,INTERNATIONAL,GHA02,162,DFH,City36,Country15,Airline37,Country05
106,Airline52,Airline52 03,DD-MM-YYYY 14:20,DD-MM-YYYY 10:20,DD-MM-YYYY 13:20,VMT-DKP,INTERNATIONAL,GHA02,388,DKP,City22,Country40,Airline52,Country40
107,Airline37,Airline37 37,DD-MM-YYYY 14:25,DD-MM-YYYY 10:25,DD-MM-YYYY 13:25,VMT-WWC,INTERNATIONAL,GHA02,150,WWC,City37,Country42,Airline37,Country05
108,Airline10,Airline10 09,DD-MM-YYYY 14:25,DD-MM-YYYY 10:25,DD-MM-YYYY 13:25,VMT-WTC,INTERNATIONAL,GHA04,186,WTC,City18,Country03,Airline10,Country05
109,Airline37,Airline37 40,DD-MM-YYYY 14:30,DD-MM-YYYY 10:30,DD-MM-YYYY 13:30,VMT-XUH,INTERNATIONAL,GHA02,164,XUH,City10,Country46,Airline37,Country05
110,Airline32,Airline32 01,DD-MM-YYYY 15:00,DD-MM-YYYY 11:00,DD-MM-YYYY 14:00,VMT-RVH,INTERNATIONAL,GHA04,230,RVH,City44,Country13,Airline32,Country13
111,Airline36,Airline36 01,DD-MM-YYYY 15:10,DD-MM-YYYY 11:10,DD-MM-YYYY 14:10,VMT-RVH,INTERNATIONAL,GHA02,346,RVH,City44,Country13,Airline36,Country13
112,Airline37,Airline37 45,DD-MM-YYYY 15:15,DD-MM-YYYY 11:15,DD-MM-YYYY 14:15,VMT-QDJ,INTERNATIONAL,GHA02,259,QDJ,City02,Country43,Airline37,Country05
113,Airline10,Airline10 03,DD-MM-YYYY 15:40,DD-MM-YYYY 11:40,DD-MM-YYYY 14:40,VMT-XGF,INTERNATIONAL,GHA04,186,XGF,City01,Country46,Airline10,Country05
114,Airline10,Airline10 26,DD-MM-YYYY 15:45,DD-MM-YYYY 11:45,DD-MM-YYYY 14:45,VMT-XUH,INTERNATIONAL,GHA04,220,XUH,City10,Country46,Airline10,Country05
115,Airline15,Airline15 01,DD-MM-YYYY 15:55,DD-MM-YYYY 11:55,DD-MM-YYYY 14:55,VMT-FQR,INTERNATIONAL,GHA02,158,FQR,City59,Country43,Airline15,Country43
116,Airline10,Airline10 31,DD-MM-YYYY 15:55,DD-MM-YYYY 11:55,DD-MM-YYYY 14:55,VMT-FAP,INTERNATIONAL,GHA04,236,FAP,City31,Country25,Airline10,Country05
117,Airline38,Airline38 01,DD-MM-YYYY 16:00,DD-MM-YYYY 12:00,DD-MM-YYYY 15:00,VMT-QUK,INTERNATIONAL,GHA04,162,QUK,City32,Country16,Airline38,Country16
118,Airline31,Airline31 01,DD-MM-YYYY 16:20,DD-MM-YYYY 12:20,DD-MM-YYYY 15:20,VMT-WWC,INTERNATIONAL,GHA04,274,WWC,City37,Country42,Airline31,Country42
119,Airline43,Airline43 04,DD-MM-YYYY 16:25,DD-MM-YYYY 12:25,DD-MM-YYYY 15:25,VMT-QDJ,INTERNATIONAL,GHA02,360,QDJ,City02,Country43,Airline43,Country43
120,Airline09,Airline09 01,DD-MM-YYYY 16:30,DD-MM-YYYY 12:30,DD-MM-YYYY 15:30,VMT-JDW,INTERNATIONAL,GHA02,362,JDW,City09,Country36,Airline09,Country36
121,Airline37,Airline37 38,DD-MM-YYYY 17:25,DD-MM-YYYY 13:25,DD-MM-YYYY 16:25,VMT-UJO,INTERNATIONAL,GHA02,164,UJO,City26,Country15,Airline37,Country05
122,Airline10,Airline10 22,DD-MM-YYYY 17:50,DD-MM-YYYY 13:50,DD-MM-YYYY 16:50,VMT-WWC,INTERNATIONAL,GHA04,186,WWC,City37,Country42,Airline10,Country05
123,Airline12,Airline12 01,DD-MM-YYYY 18:00,DD-MM-YYYY 14:00,DD-MM-YYYY 17:00,VMT-OVT,INTERNATIONAL,GHA02,246,OVT,City55,Country20,Airline12,Country20
124,Airline37,Airline37 48,DD-MM-YYYY 18:10,DD-MM-YYYY 14:10,DD-MM-YYYY 17:10,VMT-OVT,INTERNATIONAL,GHA02,250,OVT,City55,Country20,Airline37,Country05
125,Airline45,Airline45 01,DD-MM-YYYY 18:25,DD-MM-YYYY 14:25,DD-MM-YYYY 17:25,VMT-QUK,INTERNATIONAL,GHA02,180,QUK,City32,Country16,Airline45,Country05
126,Airline10,Airline10 13,DD-MM-YYYY 18:25,DD-MM-YYYY 14:25,DD-MM-YYYY 17:25,VMT-UNC,INTERNATIONAL,GHA04,186,UNC,City27,Country12,Airline10,Country05
127,Airline33,Airline33 01,DD-MM-YYYY 18:35,DD-MM-YYYY 14:35,DD-MM-YYYY 17:35,VMT-RIO,INTERNATIONAL,GHA04,168,RIO,City50,Country43,Airline33,Country43
128,Airline37,Airline37 43,DD-MM-YYYY 18:40,DD-MM-YYYY 14:40,DD-MM-YYYY 17:40,VMT-FAP,INTERNATIONAL,GHA02,164,FAP,City31,Country25,Airline37,Country05
129,Airline21,Airline21 01,DD-MM-YYYY 18:45,DD-MM-YYYY 14:45,DD-MM-YYYY 17:45,VMT-UNC,INTERNATIONAL,GHA04,188,UNC,City27,Country12,Airline21,Country12
130,Airline48,Airline48 02,DD-MM-YYYY 18:45,DD-MM-YYYY 14:45,DD-MM-YYYY 17:45,VMT-QDJ,INTERNATIONAL,GHA04,189,QDJ,City02,Country43,Airline48,Country05
131,Airline29,Airline29 01,DD-MM-YYYY 18:50,DD-MM-YYYY 14:50,DD-MM-YYYY 17:50,VMT-TVH,INTERNATIONAL,GHA04,278,TVH,City23,Country06,Airline29,Country06
